"__ALARM_SIREN_TITLE";"Lorem Ipsum";"Quelle sirène d’alarme choisir pour la maison ?"
"__ALARM_SIREN_INTRO";"Lorem Ipsum";"Voilà qu’un bruit fort et strident retentit soudain : la sirène d’alarme de la maison d’à côté s’est déclenchée ! Appeler votre voisin, contacter les secours ou jeter un œil sur ce qui se passe… Le volume sonore de la sirène d’alarme a normalement joué son rôle : avertir et, si possible, faire fuir. Alors, quelle sirène d’alarme choisir pour la sécurité de la maison ?"
"__ALARM_SIREN_H2_1";"Lorem Ipsum";"La sirène d’alarme, produit-clé de tout système de sécurité"
"__ALARM_SIREN_TEXT_1";"Lorem Ipsum";"A tel point que lorsque l’on parle d’alarme, on pense généralement à sa sirène ! 
La sirène, c’est pourtant bien l’avertisseur sonore lié à un système d’alarme. Intrusion, incendie : la sirène d’alarme fait retentir ses décibels pour avertir les occupants d’un danger."
"__ALARM_SIREN_INFO_1";"Lorem Ipsum";"L’utilisation d’une sirène d’alarme est réglementée par la mairie, afin de limiter les nuisances pour le voisinage. Le plus souvent, la puissance sonore d’une sirène extérieure est limitée à 105 dB et 3 minutes de fonctionnement. La sirène d’alarme intérieure, elle, est un produit moins contraint, sauf si vous habitez en immeuble. Dans tous les cas, le seuil sonore maximal acceptable est de 120 dB. Sans oublier de choisir un produit d’alarme aux normes NF, CE, EN ou CNPP."
"__ALARM_SIREN_H2_2";"Lorem Ipsum";"Sirène d’alarme autonome ou intégrée dans un système de sécurité complet ?"
"__ALARM_SIREN_TEXT_2";"Lorem Ipsum";"* Sirène d’alarme autonome

La sirène d’alarme autonome fonctionne seule, sans raccordement à une centrale d’alarme ou à d’autres accessoires de sécurité pour la maison. La sirène est déclenchée via un [détecteur de mouvement](https://www.netatmo.com/guide/security/burglary/solutions/presence-detector). Il s’agit d’un produit d’alarme de base. 

Ce type de sirène d’alarme joue surtout sur l’effet de dissuasion. En effet, en cas d’intrusion, vous ne serez pas alerté.e à distance et ne pourrez pas agir en conséquence. 

* Sirène d’alarme intégrée à un système de sécurité

Les sirènes d’alarme peuvent jouer un rôle plus important et surtout plus intelligent si on les couple à un système de sécurité connecté, filaire ou sans fil. Les produits sans fil sont aujourd’hui les plus usités et fonctionnent sur piles ou batterie pour une installation et une utilisation facilitées. 

La détection de mouvement se fait à partir de divers [accessoires de sécurité sans fil](https://www.netatmo.com/security) : caméra, détecteur de mouvement, détecteur d’ouverture, sonnette connectée… Chacun de ces accessoires peut déclencher l’alarme. Sans compter qu’ils sont capables de s’échanger des informations pour maximiser leur utilisation. "
"__ALARM_SIREN_INFO_2";"Lorem Ipsum";"Un [système de sécurité sans fil](https://www.netatmo.com/guide/security/burglary/solutions/wireless-home-alarm) intelligent permet d’éviter les alarmes inutiles. Détection de mouvement précise, reconnaissance faciale, paramétrage des alertes, arrêt ou déclenchement de la sirène d’alarme à distance : c’est vous qui avez la main sur la sécurité de la maison !"
"__ALARM_SIREN_H2_3";"Lorem Ipsum";"La sirène d’alarme, un produit de sécurité abordable"
"__ALARM_SIREN_TEXT_3";"Lorem Ipsum";"On trouve un vaste choix de sirènes d’alarme pour la maison, à tous les prix. Usage intérieur, extérieur, filaire, sans fil… Tout dépend de vos besoins !

Quoiqu’il en soit, évitez de recourir à une sirène d’alarme factice. Difficile de prédire son effet dissuasif lorsque vous serez partis loin en vacances."
"__BEST_HOME_ALARM_TITLE";"Lorem Ipsum";"Quels sont les meilleurs systèmes d’alarme maison ?"
"__BEST_HOME_ALARM_INTRO";"Lorem Ipsum";"Il existe de multiples modèles d’alarmes maison : alarme connectée ou non, alarme pilotable à distance depuis une application, alarme avec ou sans fil, systèmes de sécurité complets…Comment dresser un comparatif de l’alarme maison ? Netatmo vous aide à définir quel est le meilleur système d’alarme maison, c’est-à-dire le système d’alarme qui vous correspond !"
"__BEST_HOME_ALARM_H2_1";"Lorem Ipsum";"Les critères de choix d’une alarme maison"
"__BEST_HOME_ALARM_TEXT_1";"Lorem Ipsum";"Effectuer un comparatif d’alarme maison, c’est hiérarchiser ces critères : le prix du système d’alarme maison, le niveau de sécurité offerte par ce système d’alarme, le modèle d’alarme (avec ou sans fil), le type de connexion (gsm, Internet ou sans connexion), l’outil de contrôle (clavier de centrale d’alarme ou application), les éléments et produits de sécurité pouvant être rajoutés au système d’alarme de la maison et la facilité d’installation du kit."
"__BEST_HOME_ALARM_H2_2";"Lorem Ipsum";"Comparatif d’alarme maison : définissez votre exigence de sécurité"
"__BEST_HOME_ALARM_TEXT_2";"Lorem Ipsum";"Vous souhaitez une sécurité optimale pour votre maison ? La meilleure alarme serait donc celle qui offre la meilleure protection. C’est le système d’alarme toutes options, un kit adjoint d’un service de télésurveillance. Les moins ? Accepter l’intervention d’un tiers et un prix d’abonnement conséquent.  

Ce type de [kit sécurité](https://www.netatmo.com/guide/security/burglary/solutions/home-alarm-kit) comprend les éléments de protection courants (centrale d’alarme, sirène, détecteurs, caméra) mais aussi un service professionnel de télésurveillance à distance, 24h/24. Ces équipes de sécurité ont la main sur votre système d’alarme et interviennent en cas d’alerte ou d’intrusion. Un choix d’alarme maison loin d’être anodin."
"__BEST_HOME_ALARM_INFO_2";"Lorem Ipsum";"Une alarme maison peut être sans fil ou filaire. Réputées pour leur sécurité, les systèmes d’alarme avec fil requièrent cependant de lourds travaux d’installation, au prix élevé. Il est également compliqué d’y ajouter d’autres éléments de sécurité dans le temps."
"__BEST_HOME_ALARM_H2_3";"Lorem Ipsum";"Le top : combiner sécurité et flexibilité du système d’alarme maison"
"__BEST_HOME_ALARM_TEXT_3";"Lorem Ipsum";"De plus en plus d’utilisateurs plébiscitent des systèmes de sécurité intuitifs, modulables, sans fil et connectés qui correspondent à leur mode de vie. Ou comment la domotique allie sécurité optimale et mobilité !

Si vous êtes à l’aise avec votre téléphone, pourquoi ne pas opter pour une [alarme maison sans fil](https://www.netatmo.com/guide/security/burglary/solutions/wireless-home-alarm)
, connectée via Internet ou le réseau mobile (gsm) ? 

Une alarme maison connectée par Internet vous offre la possibilité de piloter votre système de sécurité à distance via l’application du système d’alarme. Vous accédez aux images des caméras de surveillance depuis votre smartphone et recevez une alerte en direct en cas d’intrusion ou d’ouverture d’une porte ou fenêtre. Vous pouvez alors déclencher la sirène de l’alarme où que vous soyez. En effet, tout détecteur ou caméra connectée à la centrale d’alarme l’est aussi à votre téléphone. C’est donc vous qui opérez votre propre télésurveillance. 

Dans le cas d’une [alarme maison sans fil gsm]( https://www.netatmo.com/guide/security/burglary/solutions/home-alarm-gsm), vous recevez une alerte par SMS en cas d’intrusion ou d’alerte des détecteurs.

Les systèmes d’alarme maison connectés sont entièrement modulables. A vous d’ajouter capteurs ou détecteurs de mouvement ou d’ouverture dans les pièces de votre choix. "
"__BEST_HOME_ALARM_INFO_3";"Lorem Ipsum";"Le niveau de système d’alarme maison le plus basique est celui de l’alarme locale. Il s’agit d’une alarme non connectée, dont la centrale déclenche la sirène en fonction des capteurs ou détecteurs d’intrusion. Pas de connexion à distance ni de télésurveillance : seul le bruit de la sirène assure la sécurité de la maison."
"__DOOR_ALARM_TITLE";"Lorem Ipsum";"Une alarme de porte à la maison, pour quoi faire ? "
"__DOOR_ALARM_INTRO";"Lorem Ipsum";"Alarme de porte, voilà un terme encore peu connu, et pourtant ! L’alarme de porte joue un rôle de sécurité majeur contre l’intrusion à domicile. Comment ? Car ce dispositif d’alarme intelligent équipé d’un détecteur d’ouverture est capable de repérer une ouverture (ou tentative d’ouverture) de la porte ou d’une fenêtre de la maison, de donner l’alarme et décourager l’intrusion. Intéressant ? Plus que ça, lorsque l’on sait que les cambrioleurs entrent en majorité tout simplement… par la porte !   "
"__DOOR_ALARM_H2_1";"Lorem Ipsum";"Les petits secrets de l’alarme de porte"
"__DOOR_ALARM_TEXT_1";"Lorem Ipsum";"L’alarme de porte (ou détecteur d’ouverture) cache bien son jeu. En effet, il s’agit le plus souvent d’un petit boitier sans fil placé sur une porte ou une fenêtre à l’aide d’un système magnétique ou d’un système de fixation tout simple. 

Sans fil, l’alarme de porte fonctionne sur piles ou batterie. Le détecteur d’ouverture peut être utilisé seul sur la porte d’entrée principale de la maison ou par lot. L’alarme de porte se place alors sur chaque ouverture de la maison qui semble à risque : porte de garage, portes-fenêtres , porte de coffre-fort ou même la petite fenêtre de la salle de bain. 

L’alarme de porte sans fil peut fonctionner seule. Dans ce cas l’alarme est seulement dissuasive (vous n’êtes pas informé.e en direct et ne pouvez pas agir en conséquence). C’est-à-dire ? Lorsque le détecteur d’ouverture de porte ou de fenêtre est alerté, la sirène d’alarme de la maison se déclenche. "
"__DOOR_ALARM_H2_2";"Lorem Ipsum";"L’alarme de porte, championne de l’alarme connectée à la maison"
